unit,peak_rss_gb,realtime_s,status
design_0_seq_0,5.1,1328.0,COMPLETED
design_0_seq_1,5.1,1018.0,COMPLETED
design_10_seq_0,5.1,1548.0,COMPLETED
design_10_seq_1,5.1,1833.0,COMPLETED
design_11_seq_0,5.1,1564.0,COMPLETED
design_11_seq_1,5.1,1031.0,COMPLETED
design_12_seq_0,5.1,1035.0,COMPLETED
design_12_seq_1,5.1,1030.0,COMPLETED
design_13_seq_0,5.1,1539.0,COMPLETED
design_13_seq_1,5.1,1016.0,COMPLETED
design_14_seq_0,5.1,2367.0,COMPLETED
design_14_seq_1,5.1,1563.0,COMPLETED
design_15_seq_0,5.1,1022.0,COMPLETED
design_15_seq_1,5.1,229.0,COMPLETED
design_16_seq_0,5.1,1032.0,COMPLETED
design_16_seq_1,5.1,1290.0,COMPLETED
design_17_seq_0,5.1,232.0,COMPLETED
design_17_seq_1,5.1,1284.0,COMPLETED
design_18_seq_0,5.1,1301.0,COMPLETED
design_18_seq_1,5.1,1544.0,COMPLETED
design_19_seq_0,5.1,1019.0,COMPLETED
design_19_seq_1,5.1,1011.0,COMPLETED
design_1_seq_0,5.1,1024.0,COMPLETED
design_1_seq_1,5.1,1029.0,COMPLETED
design_20_seq_0,5.1,1021.0,COMPLETED
design_20_seq_1,5.1,1021.0,COMPLETED
design_21_seq_0,5.1,1029.0,COMPLETED
design_21_seq_1,5.1,1573.0,COMPLETED
design_22_seq_0,5.1,1326.0,COMPLETED
design_22_seq_1,5.1,1552.0,COMPLETED
design_23_seq_0,5.1,1287.0,COMPLETED
design_23_seq_1,5.1,1031.0,COMPLETED
design_24_seq_0,5.1,1061.0,COMPLETED
design_24_seq_1,5.1,1834.0,COMPLETED
design_25_seq_0,5.1,1025.0,COMPLETED
design_25_seq_1,5.1,1024.0,COMPLETED
design_26_seq_0,5.1,1561.0,COMPLETED
design_26_seq_1,5.1,1832.0,COMPLETED
design_27_seq_0,5.1,1561.0,COMPLETED
design_27_seq_1,5.1,1287.0,COMPLETED
design_28_seq_0,5.1,1028.0,COMPLETED
design_28_seq_1,5.1,1015.0,COMPLETED
design_29_seq_0,5.1,231.0,COMPLETED
design_29_seq_1,5.1,1572.0,COMPLETED
design_2_seq_0,5.1,227.0,COMPLETED
design_2_seq_1,5.1,1287.0,COMPLETED
design_30_seq_0,5.1,1054.0,COMPLETED
design_30_seq_1,5.1,1015.0,COMPLETED
design_31_seq_0,5.1,1819.0,COMPLETED
design_31_seq_1,5.1,1569.0,COMPLETED
design_32_seq_0,5.1,1867.0,COMPLETED
design_32_seq_1,5.1,1013.0,COMPLETED
design_33_seq_0,5.1,1058.0,COMPLETED
design_33_seq_1,5.1,1027.0,COMPLETED
design_34_seq_0,5.1,2084.0,COMPLETED
design_34_seq_1,5.1,1029.0,COMPLETED
design_35_seq_0,5.1,228.0,COMPLETED
design_35_seq_1,5.1,1027.0,COMPLETED
design_36_seq_0,5.1,1024.0,COMPLETED
design_36_seq_1,5.1,1024.0,COMPLETED
design_37_seq_0,5.1,1024.0,COMPLETED
design_37_seq_1,5.1,227.0,COMPLETED
design_38_seq_0,5.1,1287.0,COMPLETED
design_38_seq_1,5.1,1555.0,COMPLETED
design_39_seq_0,5.1,230.0,COMPLETED
design_39_seq_1,5.1,2383.0,COMPLETED
design_3_seq_0,5.1,1294.0,COMPLETED
design_3_seq_1,5.1,1019.0,COMPLETED
design_40_seq_0,5.1,227.0,COMPLETED
design_40_seq_1,5.1,228.0,COMPLETED
design_41_seq_0,5.1,1035.0,COMPLETED
design_41_seq_1,5.1,1023.0,COMPLETED
design_42_seq_0,5.1,236.0,COMPLETED
design_42_seq_1,5.1,1569.0,COMPLETED
design_43_seq_0,5.1,1287.0,COMPLETED
design_43_seq_1,5.1,1277.0,COMPLETED
design_44_seq_0,5.1,1033.0,COMPLETED
design_44_seq_1,5.1,1286.0,COMPLETED
design_45_seq_0,5.1,1025.0,COMPLETED
design_45_seq_1,5.1,1810.0,COMPLETED
design_46_seq_0,5.1,1021.0,COMPLETED
design_46_seq_1,5.1,1561.0,COMPLETED
design_47_seq_0,5.1,229.0,COMPLETED
design_47_seq_1,5.1,228.0,COMPLETED
design_48_seq_0,5.1,1040.0,COMPLETED
design_48_seq_1,5.1,1027.0,COMPLETED
design_49_seq_0,5.1,229.0,COMPLETED
design_49_seq_1,5.1,229.0,COMPLETED
design_4_seq_0,5.1,1024.0,COMPLETED
design_4_seq_1,5.1,1015.0,COMPLETED
design_50_seq_0,5.1,1016.0,COMPLETED
design_50_seq_1,5.1,1013.0,COMPLETED
design_51_seq_0,5.1,227.0,COMPLETED
design_51_seq_1,5.1,228.0,COMPLETED
design_52_seq_0,5.1,1020.0,COMPLETED
design_52_seq_1,5.1,234.0,COMPLETED
design_53_seq_0,5.1,1037.0,COMPLETED
design_53_seq_1,5.1,1835.0,COMPLETED
design_54_seq_0,5.1,1024.0,COMPLETED
design_54_seq_1,5.1,1024.0,COMPLETED
design_55_seq_0,5.1,1818.0,COMPLETED
design_55_seq_1,5.1,1027.0,COMPLETED
design_56_seq_0,5.1,1558.0,COMPLETED
design_56_seq_1,5.1,1292.0,COMPLETED
design_57_seq_0,5.1,1030.0,COMPLETED
design_57_seq_1,5.1,1046.0,COMPLETED
design_58_seq_0,5.1,1026.0,COMPLETED
design_58_seq_1,5.1,1034.0,COMPLETED
design_59_seq_0,5.1,1019.0,COMPLETED
design_59_seq_1,5.1,226.0,COMPLETED
design_5_seq_0,5.1,227.0,COMPLETED
design_5_seq_1,5.1,229.0,COMPLETED
design_60_seq_0,5.1,1029.0,COMPLETED
design_60_seq_1,5.1,1026.0,COMPLETED
design_61_seq_0,5.1,1027.0,COMPLETED
design_61_seq_1,5.1,1289.0,COMPLETED
design_62_seq_0,5.1,1057.0,COMPLETED
design_62_seq_1,5.1,1057.0,COMPLETED
design_63_seq_0,5.1,1547.0,COMPLETED
design_63_seq_1,5.1,1013.0,COMPLETED
design_6_seq_0,5.1,227.0,COMPLETED
design_6_seq_1,5.1,227.0,COMPLETED
design_7_seq_0,5.1,1815.0,COMPLETED
design_7_seq_1,5.1,1555.0,COMPLETED
design_8_seq_0,5.1,1812.0,COMPLETED
design_8_seq_1,5.1,1022.0,COMPLETED
design_9_seq_0,5.1,1301.0,COMPLETED
design_9_seq_1,5.1,1039.0,COMPLETED
