unit,peak_rss_gb,target,dose
5A6W_n03,5.1,5A6W,3
5ZNG_n03,5.1,5ZNG,3
6FU9_n03,5.1,6FU9,3
6FUB_n03,5.1,6FUB,3
6FUD_n03,5.1,6FUD,3
6G10_n03,5.1,6G10,3
6G11_n03,5.1,6G11,3
6Q76_n03,5.1,6Q76,3
6R8K_n03,5.1,6R8K,3
6R8M_n03,5.1,6R8M,3
7A8W_n03,5.1,7A8W,3
7A8X_n03,5.1,7A8X,3
7BNT_n03,5.1,7BNT,3
7QPX_n03,5.1,7QPX,3
7QZD_n03,5.1,7QZD,3
8B2R_n03,5.1,8B2R,3
9IMU_n03,5.1,9IMU,3
9IP6_n03,5.1,9IP6,3
5A6W_n05,5.1,5A6W,5
5ZNG_n05,5.1,5ZNG,5
6FU9_n05,5.1,6FU9,5
6FUB_n05,5.1,6FUB,5
6FUD_n05,5.1,6FUD,5
6G10_n05,5.1,6G10,5
6G11_n05,5.1,6G11,5
6Q76_n05,5.1,6Q76,5
6R8K_n05,5.1,6R8K,5
6R8M_n05,5.1,6R8M,5
7A8W_n05,5.1,7A8W,5
7A8X_n05,5.1,7A8X,5
7BNT_n05,5.1,7BNT,5
7QPX_n05,5.1,7QPX,5
7QZD_n05,5.1,7QZD,5
8B2R_n05,5.1,8B2R,5
9IMU_n05,5.1,9IMU,5
9IP6_n05,5.1,9IP6,5
5A6W_n10,5.1,5A6W,10
5ZNG_n10,5.1,5ZNG,10
6FU9_n10,5.1,6FU9,10
6FUB_n10,5.1,6FUB,10
6FUD_n10,5.1,6FUD,10
6G10_n10,5.1,6G10,10
6G11_n10,5.1,6G11,10
6Q76_n10,5.1,6Q76,10
6R8K_n10,5.1,6R8K,10
6R8M_n10,5.1,6R8M,10
7A8W_n10,5.1,7A8W,10
7A8X_n10,5.1,7A8X,10
7BNT_n10,5.1,7BNT,10
7QPX_n10,5.1,7QPX,10
7QZD_n10,5.1,7QZD,10
8B2R_n10,5.1,8B2R,10
9IMU_n10,5.1,9IMU,10
9IP6_n10,5.1,9IP6,10
5A6W_n20,5.1,5A6W,20
5ZNG_n20,5.1,5ZNG,20
6FU9_n20,5.1,6FU9,20
6FUB_n20,5.1,6FUB,20
6FUD_n20,5.1,6FUD,20
6G10_n20,5.1,6G10,20
6G11_n20,5.1,6G11,20
6Q76_n20,5.1,6Q76,20
6R8K_n20,5.1,6R8K,20
6R8M_n20,5.1,6R8M,20
7A8W_n20,5.1,7A8W,20
7A8X_n20,5.1,7A8X,20
7BNT_n20,5.1,7BNT,20
7QPX_n20,5.1,7QPX,20
7QZD_n20,5.1,7QZD,20
8B2R_n20,5.1,8B2R,20
9IMU_n20,5.1,9IMU,20
9IP6_n20,5.1,9IP6,20
5A6W_n50,5.1,5A6W,50
5ZNG_n50,5.1,5ZNG,50
6FU9_n50,5.1,6FU9,50
6FUB_n50,5.1,6FUB,50
6FUD_n50,5.1,6FUD,50
6G10_n50,5.1,6G10,50
6G11_n50,5.1,6G11,50
6Q76_n50,5.1,6Q76,50
6R8K_n50,5.1,6R8K,50
6R8M_n50,5.1,6R8M,50
7A8W_n50,5.1,7A8W,50
7A8X_n50,5.1,7A8X,50
7BNT_n50,5.1,7BNT,50
7QPX_n50,5.1,7QPX,50
7QZD_n50,5.1,7QZD,50
8B2R_n50,5.1,8B2R,50
9IMU_n50,5.1,9IMU,50
9IP6_n50,5.1,9IP6,50
