target,jobid,maxrss_gb,elapsed,state,runtime_sec_recorded
5A6W_constrained,22368011,4.621,02:27:54,COMPLETED,8799
5A6W,20509096,4.614,01:51:33,COMPLETED,6690
5ZNG_constrained,22368014,3.618,00:05:35,COMPLETED,317
5ZNG,20509097,4.597,00:05:56,COMPLETED,352
6FU9_constrained,22368017,3.639,00:13:50,COMPLETED,796
6FU9,20509098,4.599,01:37:11,COMPLETED,5827
6FUB_constrained,22368018,4.617,01:22:16,COMPLETED,4902
6FUB,20509099,4.638,01:58:34,COMPLETED,7110
6FUD_constrained,22368021,3.632,00:13:35,COMPLETED,786
6FUD,20509100,4.610,02:32:22,COMPLETED,9139
6G10_constrained,22368022,4.174,00:05:47,COMPLETED,330
6G10,20509101,4.633,02:00:51,COMPLETED,7248
6G11_constrained,22368024,3.620,00:05:43,COMPLETED,318
6G11,20509102,4.641,02:27:56,COMPLETED,8873
6Q76_constrained,22368025,3.630,00:13:26,COMPLETED,781
6Q76,20509103,4.645,00:29:11,COMPLETED,1747
6R8K_constrained,22368026,4.632,02:56:31,COMPLETED,10586
6R8K,20509104,4.649,02:00:47,COMPLETED,7243
6R8M_constrained,22368027,4.606,02:29:07,COMPLETED,8940
6R8M,20509105,4.553,01:51:25,COMPLETED,6682
7A8W_constrained,22361700,4.637,02:39:46,COMPLETED,9549
7A8W,20509106,4.637,01:48:50,COMPLETED,6524
7A8X_constrained,22361701,4.618,02:52:02,COMPLETED,10286
7A8X,20509107,4.636,02:00:41,COMPLETED,7236
7BNT_constrained,22368029,4.612,02:24:59,COMPLETED,8693
7BNT,20509109,4.619,01:51:27,COMPLETED,6683
7QPX_constrained,22361703,4.616,01:46:08,COMPLETED,6347
7QPX,20509117,4.643,01:46:06,COMPLETED,6363
7QZD_constrained,22361704,3.624,00:04:17,COMPLETED,255
7QZD,20509118,4.610,01:46:29,COMPLETED,6384
8B2R_constrained,22368030,4.619,00:05:06,COMPLETED,299
8B2R,20509122,3.626,00:04:21,COMPLETED,257
9IMU_constrained,22368031,3.625,00:05:28,COMPLETED,325
9IMU,20509129,4.627,02:04:16,COMPLETED,7454
9IP6_constrained,22368033,3.624,00:04:55,COMPLETED,289
9IP6,20509130,3.629,00:04:19,COMPLETED,255
