model,variant,target,elapsed_min,n_predictions,steered,peak_rss_gb,sec_per_prediction
AlphaFold2-Multimer,msa,5ZNG,106.55,25,False,20.9,255.72
AlphaFold2-Multimer,msa,6FU9,108.76666666666667,25,False,28.7,261.04
AlphaFold2-Multimer,msa,6FUB,125.05,25,False,28.7,300.12
AlphaFold2-Multimer,msa,6FUD,100.3,25,False,20.7,240.72
AlphaFold2-Multimer,msa,6G10,101.75,25,False,20.8,244.2
AlphaFold2-Multimer,msa,6G11,148.7,25,False,35.9,356.88
AlphaFold2-Multimer,msa,6Q76,182.26666666666668,25,False,23.5,437.44
AlphaFold2-Multimer,msa,6R8K,102.7,25,False,20.8,246.48
AlphaFold2-Multimer,msa,6R8M,129.08333333333334,25,False,21.1,309.8
AlphaFold2-Multimer,msa,7A8W,132.4,25,False,36.0,317.76
AlphaFold2-Multimer,msa,7A8X,137.58333333333334,25,False,35.5,330.2
AlphaFold2-Multimer,msa,7BNT,102.35,25,False,20.9,245.64
AlphaFold2-Multimer,msa,7QPX,141.81666666666666,25,False,35.2,340.36
AlphaFold2-Multimer,msa,7QZD,144.36666666666667,25,False,35.9,346.48
AlphaFold2-Multimer,msa,8B2R,95.23333333333333,25,False,20.9,228.56
AlphaFold2-Multimer,msa,9IMU,97.43333333333334,25,False,20.8,233.84
AlphaFold2-Multimer,msa,9IP6,89.75,25,False,21.0,215.4
AlphaFold3,msa,5ZNG,24.1,25,False,7.8,57.84
AlphaFold3,msa,6FU9,27.516666666666666,25,False,7.8,66.04
AlphaFold3,msa,6FUB,22.766666666666666,25,False,7.8,54.64
AlphaFold3,msa,6FUD,22.566666666666666,25,False,7.8,54.16
AlphaFold3,msa,6G10,24.9,25,False,7.8,59.76
AlphaFold3,msa,6G11,22.016666666666666,25,False,7.8,52.84
AlphaFold3,msa,6Q76,24.566666666666666,25,False,7.8,58.96
AlphaFold3,msa,6R8K,25.216666666666665,25,False,7.8,60.52
AlphaFold3,msa,6R8M,25.216666666666665,25,False,7.8,60.52
AlphaFold3,msa,7A8W,23.566666666666666,25,False,7.8,56.56
AlphaFold3,msa,7A8X,22.783333333333335,25,False,7.8,54.68
AlphaFold3,msa,7BNT,22.133333333333333,25,False,7.8,53.12
AlphaFold3,msa,7QPX,21.216666666666665,25,False,7.8,50.92
AlphaFold3,msa,7QZD,19.933333333333334,25,False,7.8,47.84
AlphaFold3,msa,8B2R,20.533333333333335,25,False,7.8,49.28
AlphaFold3,msa,9IMU,21.983333333333334,25,False,7.8,52.76
AlphaFold3,msa,9IP6,23.566666666666666,25,False,7.8,56.56
AlphaFold3,no_msa,5ZNG,1.9666666666666666,25,False,7.8,4.72
AlphaFold3,no_msa,6FU9,1.7833333333333334,25,False,7.8,4.28
AlphaFold3,no_msa,6FUB,1.8166666666666667,25,False,7.8,4.36
AlphaFold3,no_msa,6FUD,1.75,25,False,7.8,4.2
AlphaFold3,no_msa,6G10,1.7166666666666666,25,False,7.8,4.12
AlphaFold3,no_msa,6G11,1.7166666666666666,25,False,7.8,4.12
AlphaFold3,no_msa,6Q76,1.7333333333333334,25,False,7.8,4.16
AlphaFold3,no_msa,6R8K,1.7833333333333334,25,False,7.8,4.28
AlphaFold3,no_msa,6R8M,1.8166666666666667,25,False,7.8,4.36
AlphaFold3,no_msa,7A8W,1.7833333333333334,25,False,7.8,4.28
AlphaFold3,no_msa,7A8X,1.7666666666666666,25,False,7.8,4.24
AlphaFold3,no_msa,7BNT,1.7666666666666666,25,False,7.8,4.24
AlphaFold3,no_msa,7QPX,1.7333333333333334,25,False,7.8,4.16
AlphaFold3,no_msa,7QZD,1.7666666666666666,25,False,7.8,4.24
AlphaFold3,no_msa,8B2R,1.7833333333333334,25,False,7.8,4.28
AlphaFold3,no_msa,9IMU,1.75,25,False,7.8,4.2
AlphaFold3,no_msa,9IP6,1.75,25,False,7.8,4.2
Boltz-1,msa,5ZNG,53.93333333333333,25,False,7.0,129.44
Boltz-1,msa,6FU9,31.366666666666667,25,False,6.6,75.28
Boltz-1,msa,6FUB,54.43333333333333,25,False,6.6,130.64
Boltz-1,msa,6FUD,66.0,25,False,6.6,158.4
Boltz-1,msa,6G10,59.833333333333336,25,False,6.6,143.6
Boltz-1,msa,6G11,70.95,25,False,7.0,170.28
Boltz-1,msa,6Q76,46.71666666666667,25,False,6.6,112.12
Boltz-1,msa,6R8K,57.06666666666667,25,False,6.6,136.96
Boltz-1,msa,6R8M,28.933333333333334,25,False,7.0,69.44
Boltz-1,msa,7A8W,52.1,25,False,7.0,125.04
Boltz-1,msa,7A8X,41.96666666666667,25,False,7.0,100.72
Boltz-1,msa,7BNT,39.53333333333333,25,False,6.6,94.88
Boltz-1,msa,7QPX,37.083333333333336,25,False,7.0,89.0
Boltz-1,msa,7QZD,28.716666666666665,25,False,6.6,68.92
Boltz-1,msa,8B2R,32.13333333333333,25,False,7.0,77.12
Boltz-1,msa,9IMU,27.7,25,False,7.0,66.48
Boltz-1,msa,9IP6,28.683333333333334,25,False,7.0,68.84
Boltz-1,no_msa,5ZNG,7.716666666666667,25,False,6.6,18.52
Boltz-1,no_msa,6FU9,7.883333333333334,25,False,6.6,18.92
Boltz-1,no_msa,6FUB,7.35,25,False,6.6,17.64
Boltz-1,no_msa,6FUD,7.016666666666667,25,False,6.6,16.84
Boltz-1,no_msa,6G10,7.033333333333333,25,False,6.6,16.88
Boltz-1,no_msa,6G11,7.116666666666666,25,False,6.6,17.08
Boltz-1,no_msa,6Q76,6.916666666666667,25,False,6.6,16.6
Boltz-1,no_msa,6R8K,7.116666666666666,25,False,6.6,17.08
Boltz-1,no_msa,6R8M,7.05,25,False,6.6,16.92
Boltz-1,no_msa,7A8W,6.966666666666667,25,False,6.6,16.72
Boltz-1,no_msa,7A8X,6.966666666666667,25,False,6.6,16.72
Boltz-1,no_msa,7BNT,7.083333333333333,25,False,6.6,17.0
Boltz-1,no_msa,7QPX,6.966666666666667,25,False,6.6,16.72
Boltz-1,no_msa,7QZD,7.033333333333333,25,False,6.6,16.88
Boltz-1,no_msa,8B2R,7.066666666666666,25,False,6.6,16.96
Boltz-1,no_msa,9IMU,6.983333333333333,25,False,6.6,16.76
Boltz-1,no_msa,9IP6,6.8,25,False,6.6,16.32
Boltz-1,restraints,5A6W,8.483333333333333,25,False,6.6,20.36
Boltz-1,restraints,5ZNG,7.033333333333333,25,False,6.6,16.88
Boltz-1,restraints,6FU9,7.283333333333333,25,False,6.6,17.48
Boltz-1,restraints,6FUB,7.366666666666666,25,False,6.6,17.68
Boltz-1,restraints,6FUD,8.566666666666666,25,False,6.6,20.56
Boltz-1,restraints,6G10,7.333333333333333,25,False,6.6,17.6
Boltz-1,restraints,6G11,7.25,25,False,6.6,17.4
Boltz-1,restraints,6Q76,7.266666666666667,25,False,6.6,17.44
Boltz-1,restraints,6R8K,7.333333333333333,25,False,6.6,17.6
Boltz-1,restraints,6R8M,7.933333333333334,25,False,6.6,19.04
Boltz-1,restraints,7A8W,7.15,25,False,6.6,17.16
Boltz-1,restraints,7A8X,8.133333333333333,25,False,6.6,19.52
Boltz-1,restraints,7BNT,7.816666666666666,25,False,6.6,18.76
Boltz-1,restraints,7QPX,8.466666666666667,25,False,6.6,20.32
Boltz-1,restraints,7QZD,7.133333333333334,25,False,6.6,17.12
Boltz-1,restraints,8B2R,7.75,25,False,6.6,18.6
Boltz-1,restraints,9IMU,7.183333333333334,25,False,6.6,17.24
Boltz-1,restraints,9IP6,7.116666666666666,25,False,6.6,17.08
Boltz-2,msa,5ZNG,51.766666666666666,25,False,5.0,124.24
Boltz-2,msa,6FU9,28.916666666666668,25,False,5.0,69.4
Boltz-2,msa,6FUB,51.88333333333333,25,False,5.0,124.52
Boltz-2,msa,6FUD,63.666666666666664,25,False,5.0,152.8
Boltz-2,msa,6G10,57.65,25,False,5.0,138.36
Boltz-2,msa,6G11,68.6,25,False,5.0,164.64
Boltz-2,msa,6Q76,44.3,25,False,5.0,106.32
Boltz-2,msa,6R8K,54.88333333333333,25,False,5.0,131.72
Boltz-2,msa,6R8M,26.566666666666666,25,False,5.0,63.76
Boltz-2,msa,7A8W,49.733333333333334,25,False,5.0,119.36
Boltz-2,msa,7A8X,39.56666666666667,25,False,5.0,94.96
Boltz-2,msa,7BNT,37.25,25,False,5.0,89.4
Boltz-2,msa,7QPX,34.833333333333336,25,False,5.0,83.6
Boltz-2,msa,7QZD,26.3,25,False,5.0,63.12
Boltz-2,msa,8B2R,29.85,25,False,5.0,71.64
Boltz-2,msa,9IMU,25.4,25,False,5.0,60.96
Boltz-2,msa,9IP6,26.566666666666666,25,False,5.0,63.76
Boltz-2,no_msa,5ZNG,5.15,25,False,5.0,12.36
Boltz-2,no_msa,6FU9,5.166666666666667,25,False,5.0,12.4
Boltz-2,no_msa,6FUB,5.316666666666666,25,False,5.0,12.76
Boltz-2,no_msa,6FUD,5.15,25,False,5.0,12.36
Boltz-2,no_msa,6G10,5.183333333333334,25,False,5.0,12.44
Boltz-2,no_msa,6G11,5.15,25,False,5.0,12.36
Boltz-2,no_msa,6Q76,5.15,25,False,5.0,12.36
Boltz-2,no_msa,6R8K,5.3,25,False,5.0,12.72
Boltz-2,no_msa,6R8M,5.333333333333333,25,False,5.0,12.8
Boltz-2,no_msa,7A8W,5.15,25,False,5.0,12.36
Boltz-2,no_msa,7A8X,5.15,25,False,5.0,12.36
Boltz-2,no_msa,7BNT,5.216666666666667,25,False,5.0,12.52
Boltz-2,no_msa,7QPX,5.133333333333334,25,False,5.0,12.32
Boltz-2,no_msa,7QZD,5.1,25,False,5.0,12.24
Boltz-2,no_msa,8B2R,5.15,25,False,5.0,12.36
Boltz-2,no_msa,9IMU,5.166666666666667,25,False,5.0,12.4
Boltz-2,no_msa,9IP6,5.1,25,False,5.0,12.24
