unit,design,base,status,kind,seed_index,n_mutations,ra_eff,reverted_ra_eff_vs_truth,reversion_verdict,steered_n_contacts_on_mutated_positions,steered_receptor_intact,complex_plddt,interface_plddt,iptm,ptm,ipsae_min,true_jaccard
design_0_seq_0,initial,initial,initial,cold_start,,0,28.036,,,0,1,72.39999999999999,64.39,0.7638,0.8439,0.3142,0.3235294117647059
design_0_seq_0,design_01_s0,design_01,ok,steered,0.0,6,3.509,22.49,pose_collapses,3,1,69.34,60.07,0.3591,0.5794,0.0,0.5333333333333333
design_0_seq_0,design_00_s0,design_00,ok,steered,0.0,6,25.675,,,3,1,68.91000000000001,58.08,0.4815,0.6529,0.0032,0.4
design_0_seq_0,design_00_s2,design_00,ok,steered,2.0,6,26.862,,,2,1,70.21,61.91,0.3369,0.5696,0.0,0.4
design_0_seq_0,design_02_s2,design_02,ok,steered,2.0,6,14.767,,,3,0,71.99,62.480000000000004,0.347,0.6072,0.0,0.3793103448275862
design_0_seq_0,design_01_s1,design_01,ok,steered,1.0,6,17.476,,,1,0,71.88,67.80000000000001,0.2334,0.5338,0.0,0.36
design_0_seq_0,design_01_s2,design_01,ok,steered,2.0,6,18.062,,,2,0,74.82,67.53,0.2529,0.5535,0.0,0.3214285714285714
design_0_seq_0,design_02_s0,design_02,ok,steered,0.0,6,19.556,,,2,0,74.05000000000001,64.14999999999999,0.3406,0.6021,0.0,0.3
design_0_seq_0,design_00_s1,design_00,ok,steered,1.0,6,21.214,,,0,0,70.42,60.67,0.3962,0.5695,0.0029,0.4230769230769231
design_0_seq_0,design_02_s1,design_02,ok,steered,1.0,6,28.513,,,2,0,73.06,66.03999999999999,0.5804,0.7346,0.1114,0.3103448275862069
design_0_seq_1,initial,initial,initial,cold_start,,0,27.402,,,0,1,74.35000000000001,65.4,0.5343,0.7233,0.0289,0.375
design_0_seq_1,design_02_s1,design_02,ok,steered,1.0,3,17.062,,,3,1,70.39999999999999,63.53,0.6896,0.8078,0.218,0.3684210526315789
design_0_seq_1,design_01_s2,design_01,ok,steered,2.0,3,24.932,,,1,1,68.63,61.27,0.2233,0.5217,0.0,0.3225806451612903
