unit,design,base,status,kind,seed_index,n_mutations,ra_eff,reverted_ra_eff_vs_truth,reversion_verdict,steered_n_contacts_on_mutated_positions,steered_receptor_intact,complex_plddt,interface_plddt,iptm,ptm,ipsae_min,true_jaccard
design_0_seq_0,initial,initial,initial,cold_start,0.0,0,2.176,,,0,1,74.58,67.39,0.8975,0.9127,0.7127,0.5161290322580645
design_0_seq_0,initial_s2,initial,initial,cold_start,2.0,0,2.467,,,0,1,72.22,63.839999999999996,0.8981,0.9119,0.7116,0.6206896551724138
design_0_seq_0,initial_s1,initial,initial,cold_start,1.0,0,3.574,,,0,1,76.68,69.84,0.8903,0.9077,0.6974,0.6428571428571429
design_0_seq_1,initial,initial,initial,cold_start,,0,1.859,,,0,1,74.48,69.06,0.874,0.8933,0.6242,0.46875
design_0_seq_1,design_01_s1,design_01,ok,steered,1.0,3,5.534,18.416,pose_collapses,1,1,74.11,68.61,0.7796,0.8163,0.4008,0.46875
design_0_seq_1,design_00_s1,design_00,ok,steered,1.0,3,8.857,,,3,1,73.88,66.13,0.727,0.8168,0.294,0.5
design_0_seq_1,design_00_s2,design_00,ok,steered,2.0,3,8.947,,,3,1,68.22,60.35,0.8762,0.9042,0.6728,0.59375
design_0_seq_1,design_01_s2,design_01,ok,steered,2.0,3,9.418,,,1,1,73.96000000000001,67.43,0.9017,0.9079,0.7143,0.6129032258064516
design_0_seq_1,design_01_s0,design_01,ok,steered,0.0,3,8.796,,,1,0,71.32,64.53999999999999,0.8135,0.8454,0.4861,0.4848484848484848
design_0_seq_1,design_00_s0,design_00,ok,steered,0.0,3,10.067,,,2,0,70.28999999999999,63.11,0.896,0.9121,0.7311,0.5483870967741935
design_0_seq_1,design_02_s1,design_02,ok,steered,1.0,3,15.113,,,2,0,62.64999999999999,57.16,0.7034,0.7942,0.2433,0.4473684210526316
design_0_seq_1,design_02_s0,design_02,ok,steered,0.0,3,27.346,,,1,0,67.17999999999999,60.97,0.6967,0.8058,0.1935,0.4838709677419355
design_0_seq_1,design_02_s2,design_02,ok,steered,2.0,3,28.583,,,2,0,68.56,64.24,0.6601,0.7833,0.1655,0.4545454545454545
design_10_seq_0,initial,initial,initial,cold_start,,0,25.669,,,0,1,88.14999999999999,83.96000000000001,0.8326,0.8691,0.5554,0.5161290322580645
design_10_seq_0,design_02_s2,design_02,ok,steered,2.0,3,1.868,2.591,pose_holds,1,1,82.8,78.45,0.7339,0.8208,0.3148,0.72
design_10_seq_0,design_01_s2,design_01,ok,steered,2.0,3,2.19,2.137,pose_holds,1,1,89.53,85.39999999999999,0.9001,0.9342,0.7178,0.6923076923076923
design_10_seq_0,design_02_s0,design_02,ok,steered,0.0,3,3.608,3.966,pose_holds,1,1,82.59,76.51,0.8207,0.8717,0.4705,0.64
