variant,unit,design,base,kind,seed_index,found,ipsae_min_stored,ra_eff,ipsae_ab,ipsae_ba,ipsae_min,ipsae_ab_mean,ipsae_ba_mean,ipsae_min_mean,argmax_ab,argmax_ba,n_below_argmax_ab,n_below_argmax_ba,d0_argmax_ab,d0_argmax_ba,n_rec,n_eff,saturated_ab,saturated_ba,L_interchain_pairs,L_frac,mean_pae_passing,n_interacting_rec,n_interacting_eff
negsteer,design_0_seq_0,initial,initial,cold_start,,1,0.3142,28.036,0.3142,0.3583,0.3142,0.21811311548325893,0.2735501818086316,0.21811311548325893,47,22,82,82,3.2363196445526423,3.2363196445526423,82,82,1,1,12813,0.9527810826888756,5.8114776611328125,80,81
negsteer,design_0_seq_0,design_01_s0,design_01,steered,0.0,1,0.0,3.509,0.0,0.003,0.0,0.0,0.0018054977507989218,0.0,0,37,0,1,0.5,0.5,82,82,0,0,149,0.011079714455681141,9.611759185791016,0,55
negsteer,design_0_seq_0,design_00_s0,design_00,steered,0.0,1,0.0032,25.675,0.0032,0.0089,0.0032,0.001295334375577002,0.0031755397255282575,0.001295334375577002,62,58,2,24,0.5,0.7793039405843609,82,82,0,0,1281,0.0952558001189768,8.812429428100586,39,72
negsteer,design_0_seq_0,design_00_s2,design_00,steered,2.0,1,0.0,26.862,0.0,0.0029,0.0,0.0,0.001408440523735452,0.0,0,56,0,1,0.5,0.5,82,82,0,0,53,0.003941106484235574,9.62790584564209,0,43
negsteer,design_0_seq_0,design_02_s2,design_02,steered,2.0,1,0.0,14.767,0.0,0.0026,0.0,0.0,0.00037484631941812793,0.0,0,12,0,1,0.5,0.5,82,82,0,0,21,0.001561570493753718,9.848466873168945,0,12
negsteer,design_0_seq_0,design_01_s1,design_01,steered,1.0,1,0.0,17.476,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.5,0.5,82,82,0,0,0,0.0,,0,0
negsteer,design_0_seq_0,design_01_s2,design_01,steered,2.0,1,0.0,18.062,0.0,0.0026,0.0,0.0,9.374637099936967e-05,0.0,0,56,0,1,0.5,0.5,82,82,0,0,3,0.000223081499107674,9.865270614624023,0,3
negsteer,design_0_seq_0,design_02_s0,design_02,steered,0.0,1,0.0,19.556,0.0,0.0028,0.0,0.0,0.0016511141595135375,0.0,0,60,0,4,0.5,0.5,82,82,0,0,150,0.011154074955383701,9.660775184631348,0,51
negsteer,design_0_seq_0,design_00_s1,design_00,steered,1.0,1,0.0029,21.214,0.003,0.0029,0.0029,0.0009086686612402157,0.001450362530105361,0.0009086686612402157,62,12,2,11,0.5,0.5,82,82,0,0,143,0.010633551457465794,9.643754005432129,28,45
negsteer,design_0_seq_0,design_02_s1,design_02,steered,1.0,1,0.1114,28.513,0.1114,0.1396,0.1114,0.034543471229149074,0.09493400847039572,0.034543471229149074,39,58,69,69,2.886906305608928,2.886906305608928,82,82,0,0,7186,0.5343545508625818,8.32833480834961,75,77
negsteer,design_0_seq_1,initial,initial,cold_start,,1,0.0289,27.402,0.0289,0.1063,0.0289,0.004985785083390954,0.053851618502493495,0.004985785083390954,38,58,35,64,1.565877844577684,2.7375390804284843,82,82,0,0,4456,0.33135038667459843,8.764907836914062,70,80
negsteer,design_0_seq_1,design_02_s1,design_02,steered,1.0,1,0.218,17.062,0.218,0.2458,0.218,0.14740738997281325,0.19206941759259236,0.14740738997281325,5,38,82,82,3.2363196445526423,3.2363196445526423,82,82,1,1,12245,0.9105443188578227,7.0416693687438965,81,81
negsteer,design_0_seq_1,design_01_s2,design_01,steered,2.0,1,0.0,24.932,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.5,0.5,82,82,0,0,0,0.0,,0,0
negsteer,design_0_seq_1,design_00_s2,design_00,steered,2.0,1,0.2884,2.675,0.2884,0.2894,0.2884,0.17313208823978174,0.22221863174402132,0.17313208823978174,74,58,81,82,3.2111376255715163,3.2363196445526423,82,82,0,1,12339,0.9175342058298632,6.478642463684082,82,81
negsteer,design_0_seq_1,design_00_s1,design_00,steered,1.0,1,0.2307,5.772,0.2307,0.2643,0.2307,0.15414703474380076,0.19342268394908255,0.15414703474380076,77,12,79,82,3.1599999999999993,3.2363196445526423,82,82,0,1,12089,0.8989440809042237,6.8727335929870605,82,81
negsteer,design_0_seq_1,design_00_s0,design_00,steered,0.0,1,0.0031,19.841,0.0035,0.0031,0.0031,0.0021096733569099407,0.002423546887457189,0.0021096733569099407,62,11,2,6,0.5,0.5,82,82,0,0,617,0.04588042831647829,9.271743774414062,58,69
negsteer,design_0_seq_1,design_01_s0,design_01,steered,0.0,1,0.0,20.995,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.5,0.5,82,82,0,0,0,0.0,,0,0
negsteer,design_0_seq_1,design_01_s1,design_01,steered,1.0,1,0.0,27.461,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.5,0.5,82,82,0,0,0,0.0,,0,0
