arm,unit,design,base,seed_index,n_mutations,stored_ipsae_min,ipsae_full,ipsae_no_mut,ipsae_interface
negsteer,design_11_seq_0,initial,initial,,0,0.0,0.0,0.0,0.0
negsteer,design_11_seq_0,design_01_s2,design_01,2.0,6,0.5172,0.5172,0.5172,0.0747
negsteer,design_11_seq_0,design_01_s0,design_01,0.0,6,0.2793,0.2793,0.2793,0.029
negsteer,design_11_seq_0,design_01_s1,design_01,1.0,6,0.4392,0.4392,0.4202,0.0513
negsteer,design_11_seq_0,design_00_s2,design_00,2.0,6,0.0446,0.0446,0.0446,0.0033
negsteer,design_11_seq_0,design_00_s1,design_00,1.0,6,0.0,0.0,0.0,0.0
negsteer,design_11_seq_0,design_00_s0,design_00,0.0,6,0.0367,0.0367,0.0345,0.0033
negsteer,design_11_seq_0,design_02_s2,design_02,2.0,6,0.0,0.0,0.0,0.0
negsteer,design_11_seq_0,design_02_s1,design_02,1.0,6,0.0,0.0,0.0,0.0
negsteer,design_11_seq_0,design_02_s0,design_02,0.0,6,0.0,0.0,0.0,0.0
negsteer,design_11_seq_1,initial,initial,,0,0.003,0.003,0.003,0.0027
negsteer,design_11_seq_1,design_01_s1,design_01,1.0,3,0.0,0.0,0.0,0.0
negsteer,design_11_seq_1,design_02_s2,design_02,2.0,3,0.5386,0.5386,0.534,0.0768
negsteer,design_11_seq_1,design_02_s0,design_02,0.0,3,0.3347,0.3347,0.3347,0.0367
negsteer,design_11_seq_1,design_02_s1,design_02,1.0,3,0.402,0.402,0.402,0.0458
negsteer,design_11_seq_1,design_01_s0,design_01,0.0,3,0.0,0.0,0.0,0.0
negsteer,design_11_seq_1,design_01_s2,design_01,2.0,3,0.0541,0.0541,0.0535,0.0032
negsteer,design_11_seq_1,design_00_s0,design_00,0.0,3,0.0,0.0,0.0,0.0
negsteer,design_11_seq_1,design_00_s2,design_00,2.0,3,0.0,0.0,0.0,0.0
negsteer,design_11_seq_1,design_00_s1,design_00,1.0,3,0.0,0.0,0.0,0.0
negsteer,design_14_seq_0,initial,initial,,0,0.4172,0.4172,0.4172,0.0203
negsteer,design_14_seq_0,design_02_s0,design_02,0.0,3,0.8132,0.8132,0.8132,0.2097
negsteer,design_14_seq_0,design_02_s2,design_02,2.0,3,0.8369,0.8369,0.8369,0.2415
negsteer,design_14_seq_0,design_02_s1,design_02,1.0,3,0.8363,0.8363,0.8363,0.2494
negsteer,design_14_seq_0,design_01_s2,design_01,2.0,3,0.8511,0.8511,0.8473,0.2335
negsteer,design_14_seq_0,design_00_s0,design_00,0.0,3,0.698,0.698,0.6933,0.0718
negsteer,design_14_seq_0,design_00_s2,design_00,2.0,3,0.5503,0.5503,0.5374,0.0337
negsteer,design_14_seq_0,design_00_s1,design_00,1.0,3,0.763,0.763,0.7535,0.1123
negsteer,design_14_seq_0,design_01_s1,design_01,1.0,3,0.8621,0.8621,0.8581,0.245
negsteer,design_14_seq_0,design_01_s0,design_01,0.0,3,0.8296,0.8296,0.8241,0.183
negsteer,design_15_seq_1,initial,initial,0.0,0,0.3983,0.3983,0.3983,0.0219
negsteer,design_15_seq_1,initial_s2,initial,2.0,0,0.2919,0.2919,0.2919,0.0143
negsteer,design_15_seq_1,initial_s1,initial,1.0,0,0.3539,0.3539,0.3539,0.0176
negsteer,design_17_seq_0,initial,initial,0.0,0,0.7566,0.7566,0.7566,0.1304
negsteer,design_17_seq_0,initial_s2,initial,2.0,0,0.668,0.668,0.668,0.0927
negsteer,design_17_seq_0,initial_s1,initial,1.0,0,0.7024,0.7024,0.7024,0.097
