unit,rep_design_uncon,rep_design_con,rep_ra_eff_uncon,rep_ra_eff_con,ipsae_min_asis_uncon,ipsae_min_asis_con,d_ipsae,rank_uncon,rank_con,d_rank,abs_d_rank,n_below_argmax_ab_uncon,n_below_argmax_ab_con,d_L_argmax,d0_argmax_ab_uncon,d0_argmax_ab_con,d_d0_argmax,L_pairs_uncon,L_pairs_con,d_L_pairs,mean_pae_passing_uncon,mean_pae_passing_con,d_mean_pae,ipsae_min_d0swap_con,ipsae_min_mean_uncon,ipsae_min_mean_con
design_21_seq_1,design_02,initial,4.092,1.226,0.0,0.8758859634399414,0.8758859634399414,37.5,7.0,-30.5,30.5,0.0,82.0,82.0,0.5,3.2363196445526423,2.7363196445526423,0.0,13555.0,13555.0,,2.7349565029144287,,0.1907360255718231,0.0,0.6130641887679563
design_42_seq_1,design_01,initial,3.493,1.465,0.6896870136260986,0.2344660758972168,-0.45522093772888184,10.0,37.0,27.0,27.0,82.0,75.0,-7.0,3.2363196445526423,3.054435875049391,-0.18188376950325136,12977.0,10651.0,-2326.0,4.4662766456604,7.148128032684326,2.681851387023926,0.2344660758972168,0.3476444746970253,0.1236926579628797
design_17_seq_0,initial,initial,2.046,1.476,0.7023841738700867,0.7060686945915222,0.003684520721435547,9.0,29.0,20.0,20.0,82.0,82.0,0.0,3.2363196445526423,3.2363196445526423,0.0,12500.0,12464.0,-36.0,4.145333290100098,3.81384801864624,-0.33148527145385787,0.7060686945915222,0.4007290664299898,0.4046712574383975
design_49_seq_1,initial,initial,3.527,2.126,0.2004278302192688,0.8807080388069153,0.6802802085876465,22.0,4.0,-18.0,18.0,75.0,82.0,7.0,3.054435875049391,3.2363196445526423,0.18188376950325136,10274.0,12814.0,2540.0,6.8881611824035645,2.4765944480896,-4.411566734313965,0.8743190169334412,0.1338475659619309,0.6431518655765471
design_11_seq_1,design_02,design_02,3.6835,3.0,0.4019528925418854,0.9008952975273132,0.49894240498542786,18.0,1.0,-17.0,17.0,82.0,82.0,0.0,3.2363196445526423,3.2363196445526423,0.0,12203.0,13437.0,1234.0,5.658668518066406,2.346057176589966,-3.3126113414764404,0.9008952975273132,0.2280058253315244,0.6622969152809806
design_29_seq_1,design_00,design_01,2.861,2.522,0.7158278226852417,0.7873101830482483,0.07148236036300659,8.0,24.0,16.0,16.0,82.0,82.0,0.0,3.2363196445526423,3.2363196445526423,0.0,12754.0,13090.0,336.0,3.8366103172302246,3.1561503410339355,-0.6804599761962891,0.7873101830482483,0.4242618391778964,0.5264860853340109
design_51_seq_1,initial,initial,1.836,1.27,0.1847603023052215,0.2201859802007675,0.03542567789554599,24.0,38.0,14.0,14.0,72.0,79.0,7.0,2.9721414027832376,3.1599999999999997,0.18785859721676212,9559.0,10587.0,1028.0,7.28632116317749,7.083591461181641,-0.2027297019958496,0.1992621421813964,0.1141379034666755,0.145367305039416
design_14_seq_0,design_02,initial,2.935,1.332,0.8362857699394226,0.8441130518913269,0.007827281951904297,2.0,15.0,13.0,13.0,82.0,82.0,0.0,3.2363196445526423,3.2363196445526423,0.0,12808.0,12951.0,143.0,3.15071702003479,2.954717874526977,-0.19599914550781294,0.8441130518913269,0.5431166645750636,0.5821146626374685
design_45_seq_1,design_01,initial,3.673,2.644,0.0,0.7781068086624146,0.7781068086624146,37.5,25.0,-12.5,12.5,0.0,82.0,82.0,0.5,3.2363196445526423,2.7363196445526423,6.0,12847.0,12841.0,,3.474567174911499,,0.1078433841466903,0.0,0.4816162887454768
design_42_seq_0,initial,initial,2.264,1.758,0.3182691931724548,0.8717154860496521,0.5534462928771973,21.0,9.0,-12.0,12.0,75.0,82.0,7.0,3.054435875049391,3.2363196445526423,0.18188376950325136,10720.0,13758.0,3038.0,6.1443939208984375,2.8756794929504395,-3.268714427947998,0.8622731566429138,0.1543991984717328,0.5819469372358392
design_8_seq_0,design_01,design_00,3.9465,2.292,0.0977700799703598,0.8160901069641113,0.7183200269937515,32.0,20.0,-12.0,12.0,61.0,82.0,21.0,2.642979360059773,3.2363196445526423,0.5933402844928692,3258.0,12432.0,9174.0,8.13086986541748,3.177100896835327,-4.953768968582153,0.6363613605499268,0.0058557380510207,0.5299525702676664
design_43_seq_1,design_01,initial,1.984,1.658,0.1319356560707092,0.2909603416919708,0.15902468562126162,28.0,36.0,8.0,8.0,70.0,81.0,11.0,2.915661051344125,3.2111376255715163,0.29547657422739126,8409.0,11357.0,2948.0,7.8072638511657715,6.111479759216309,-1.695784091949463,0.2387505769729614,0.0665345689275773,0.2015105787809793
design_6_seq_1,initial,initial,3.853,3.565,0.7914732098579407,0.870091438293457,0.07861822843551636,3.0,11.0,8.0,8.0,82.0,82.0,0.0,3.2363196445526423,3.2363196445526423,0.0,12830.0,12949.0,119.0,3.195188045501709,2.701145887374878,-0.49404215812683105,0.870091438293457,0.519761920592282,0.6023109219386242
design_47_seq_1,initial,initial,2.623,2.874,0.087117776274681,0.7570253610610962,0.6699075847864152,34.0,26.0,-8.0,8.0,65.0,82.0,17.0,2.768199058314079,3.2363196445526423,0.46812058623856334,6521.0,12746.0,6225.0,8.906116485595703,3.688214302062988,-5.217902183532715,0.7079752683639526,0.0372213195423009,0.4694179014394772
design_40_seq_1,initial,initial,2.988,1.594,0.4254159331321716,0.8704978823661804,0.44508194923400884,17.0,10.0,-7.0,7.0,80.0,82.0,2.0,3.185699940650432,3.2363196445526423,0.05061970390221049,11425.0,12968.0,1543.0,5.333762168884277,2.739856004714966,-2.5939061641693115,0.8682458996772766,0.2530465004121652,0.6021020368731115
design_39_seq_0,initial,initial,1.703,1.238,0.4931749105453491,0.874629020690918,0.38145411014556885,15.0,8.0,-7.0,7.0,82.0,82.0,0.0,3.2363196445526423,3.2363196445526423,0.0,12944.0,13116.0,172.0,4.588492393493652,2.6295742988586426,-1.9589180946350098,0.874629020690918,0.345326897478375,0.6216333853762325
design_47_seq_0,initial,initial,2.137,1.753,0.7739786505699158,0.869992196559906,0.09601354598999023,6.0,12.0,6.0,6.0,82.0,82.0,0.0,3.2363196445526423,3.2363196445526423,0.0,13066.0,13126.0,60.0,3.323592185974121,2.7211873531341557,-0.6024048328399654,0.869992196559906,0.4972347174569918,0.6037797992847814
design_43_seq_0,design_00,initial,2.926,1.064,0.0914824977517128,0.1357703059911728,0.04428780823945999,33.0,39.0,6.0,6.0,62.0,74.0,12.0,2.674944339371981,3.0273155556828426,0.35237121631086143,3790.0,8804.0,5014.0,8.85982894897461,8.048043251037598,-0.8117856979370117,0.1083226054906845,0.0198595872445201,0.0851791894922105
design_34_seq_0,design_00,design_00,2.691,4.116,0.6756425499916077,0.8349955677986145,0.15935301780700684,12.0,18.0,6.0,6.0,82.0,82.0,0.0,3.2363196445526423,3.2363196445526423,0.0,12568.0,12935.0,367.0,4.111154079437256,3.007760524749756,-1.1033935546875,0.8349955677986145,0.3823861905635567,0.5547941533994163
design_59_seq_1,initial,initial,2.336,1.995,0.1575124561786651,0.8155280947685242,0.658015638589859,27.0,21.0,-6.0,6.0,75.0,82.0,7.0,3.054435875049391,3.2363196445526423,0.18188376950325136,9356.0,12157.0,2801.0,7.819085121154785,3.0809247493743896,-4.7381603717803955,0.8155280947685242,0.1001428297818883,0.5361989346289958
design_26_seq_1,design_01,initial,2.898,1.402,0.6823040246963501,0.8430099487304688,0.16070592403411865,11.0,16.0,5.0,5.0,82.0,82.0,0.0,3.2363196445526423,3.2363196445526423,0.0,12540.0,13522.0,982.0,4.494263172149658,3.0497257709503174,-1.4445374011993408,0.8430099487304688,0.3403965222505143,0.560987064052218
design_38_seq_0,design_00,design_01,4.259,1.655,0.0028794580139219,0.6277289986610413,0.6248495406471194,35.0,30.0,-5.0,5.0,4.0,82.0,78.0,0.5,3.2363196445526423,2.7363196445526423,1519.0,12350.0,10831.0,8.809800148010254,3.652075052261353,-5.157725095748901,0.0600680038332939,0.0002824811873814,0.4556744295166423
design_57_seq_0,design_01,design_01,4.064,2.954,0.1719261109828949,0.5050785541534424,0.3331524431705475,26.0,31.0,5.0,5.0,72.0,82.0,10.0,2.9721414027832376,3.2363196445526423,0.26417824176940474,8906.0,11884.0,2978.0,7.620229721069336,4.965541362762451,-2.6546883583068848,0.4943410456180572,0.097796164597017,0.3048779364601758
design_31_seq_0,design_01,initial,4.154,1.86,0.0,0.4673271179199219,0.4673271179199219,37.5,33.0,-4.5,4.5,0.0,81.0,81.0,0.5,3.2111376255715163,2.7111376255715163,358.0,12106.0,11748.0,9.47602653503418,5.235411643981934,-4.240614891052246,0.0232907067984342,0.0,0.2719624628468106
design_52_seq_1,initial,design_02,1.883,1.515,0.1181273013353347,0.3426255583763122,0.2244982570409775,30.0,34.0,4.0,4.0,71.0,80.0,9.0,2.9440693332755243,3.185699940650432,0.2416306073749075,7732.0,11475.0,3743.0,8.511841773986816,5.687512874603272,-2.824328899383544,0.2985787093639374,0.0583564406049183,0.2267763192293705
design_35_seq_0,initial,initial,3.758,2.373,0.1141740381717681,0.7275485992431641,0.613374561071396,31.0,27.0,-4.0,4.0,70.0,82.0,12.0,2.915661051344125,3.2363196445526423,0.3206585932085173,8160.0,12339.0,4179.0,8.29173469543457,3.57844877243042,-4.71328592300415,0.7275485992431641,0.0598920756140602,0.4695759273539358
design_29_seq_0,initial,initial,3.673,4.03,0.1319213956594467,0.4753797054290771,0.34345830976963043,29.0,32.0,3.0,3.0,75.0,79.0,4.0,3.054435875049391,3.1599999999999997,0.10556412495060874,9014.0,11206.0,2192.0,8.329381942749023,5.385550022125244,-2.9438319206237793,0.4753797054290771,0.0790882205912544,0.211614922715213
design_51_seq_0,initial,initial,2.384,2.476,0.172946810722351,0.7128747701644897,0.5399279594421388,25.0,28.0,3.0,3.0,66.0,82.0,16.0,2.798452913890075,3.2363196445526423,0.4378667306625674,8501.0,12391.0,3890.0,7.868149757385254,3.2409908771514893,-4.627158880233765,0.6969682574272156,0.0699158661557337,0.5231235062976073
design_2_seq_0,initial,initial,4.495,1.846,0.3186799883842468,0.8085770010948181,0.4898970127105713,20.0,23.0,3.0,3.0,80.0,82.0,2.0,3.185699940650432,3.2363196445526423,0.05061970390221049,10608.0,12058.0,1450.0,5.74584436416626,2.9651904106140137,-2.780653953552246,0.8080694675445557,0.2000698915868997,0.5527473153864465
design_31_seq_1,design_02,design_00,4.184,2.438,0.0,0.2919971048831939,0.2919971048831939,37.5,35.0,-2.5,2.5,0.0,82.0,82.0,0.5,3.2363196445526423,2.7363196445526423,269.0,12595.0,12326.0,9.557062149047852,6.136035919189453,-3.4210262298583984,0.0101669607684016,0.0,0.185639017638118
design_11_seq_0,design_01,initial,2.647,1.804,0.4392386972904205,0.8414179682731628,0.40217927098274237,16.0,17.0,1.0,1.0,82.0,82.0,0.0,3.2363196445526423,3.2363196445526423,0.0,12641.0,13384.0,743.0,5.279178142547607,3.0507514476776123,-2.228426694869995,0.8414179682731628,0.268216986133414,0.5561388111000051
design_5_seq_0,initial,initial,3.299,1.75,0.1991676837205886,0.8103076815605164,0.6111399978399278,23.0,22.0,-1.0,1.0,73.0,82.0,9.0,2.9998870343784683,3.2363196445526423,0.23643261017417405,9095.0,12714.0,3619.0,7.473774909973144,3.281351327896118,-4.1924235820770255,0.8103076815605164,0.0988812421955451,0.5021681162127871
design_18_seq_0,design_00,design_02,3.161,1.576,0.7608872056007385,0.876862108707428,0.11597490310668945,7.0,6.0,-1.0,1.0,82.0,82.0,0.0,3.2363196445526423,3.2363196445526423,0.0,11967.0,12144.0,177.0,3.456299066543579,2.654550552368164,-0.801748514175415,0.876862108707428,0.4763487312135597,0.6179104758108535
design_49_seq_0,initial,initial,3.309,1.665,0.776064932346344,0.8834593296051025,0.10739439725875854,4.0,3.0,-1.0,1.0,82.0,82.0,0.0,3.2363196445526423,3.2363196445526423,0.0,12722.0,12816.0,94.0,3.390321969985962,2.5314981937408447,-0.8588237762451172,0.8834593296051025,0.503568254166601,0.6314414726493621
design_39_seq_1,design_00,initial,2.897,1.609,0.8817732334136963,0.897623598575592,0.015850365161895752,1.0,2.0,1.0,1.0,82.0,82.0,0.0,3.2363196445526423,3.2363196445526423,0.0,13048.0,13131.0,83.0,2.5002782344818115,2.5119543075561523,0.01167607307434082,0.897623598575592,0.6403488097080018,0.6383192412624205
