unit,rep_design_uncon,rep_design_con,rep_ra_eff_uncon,rep_ra_eff_con,ipsae_min_stored_uncon,ipsae_min_stored_con,ipsae_min_asis_uncon,ipsae_min_mean_uncon,n_below_argmax_ab_uncon,n_below_argmax_ba_uncon,d0_argmax_ab_uncon,L_pairs_uncon,mean_pae_passing_uncon,ipsae_min_asis_con,ipsae_min_mean_con,n_below_argmax_ab_con,n_below_argmax_ba_con,d0_argmax_ab_con,L_pairs_con,mean_pae_passing_con,ipsae_min_d0swap_con,status
design_11_seq_0,design_01,initial,2.647,1.804,0.4392,0.8414,0.43923869729042053,0.26821698613341405,82.0,83.0,3.2363196445526423,12641.0,5.279178142547607,0.8414179682731628,0.5561388111000051,82.0,83.0,3.2363196445526423,13384.0,3.0507514476776123,0.8414179682731628,ok
design_11_seq_1,design_02,design_02,3.6834999999999996,3.0,0.402,0.9009,0.4019528925418854,0.2280058253315244,82.0,83.0,3.2363196445526423,12203.0,5.658668518066406,0.9008952975273132,0.6622969152809806,82.0,83.0,3.2363196445526423,13437.0,2.346057176589966,0.9008952975273132,ok
design_14_seq_0,design_02,initial,2.9349999999999996,1.332,0.8363,0.8441,0.8362857699394226,0.5431166645750636,82.0,80.0,3.2363196445526423,12808.0,3.15071702003479,0.8441130518913269,0.5821146626374685,82.0,80.0,3.2363196445526423,12951.0,2.9547178745269775,0.8441130518913269,ok
design_15_seq_1,initial,initial,3.191,3.334,0.3539,0.8268,0.35389217734336853,0.20699729040885964,81.0,81.0,3.2111376255715163,11372.0,5.788271903991699,0.826752245426178,0.5324986887474855,82.0,81.0,3.2363196445526423,12980.0,3.214172601699829,0.8228597640991211,ok
design_17_seq_0,initial,initial,2.046,1.476,0.7024,0.7061,0.7023841738700867,0.4007290664299898,82.0,79.0,3.2363196445526423,12500.0,4.145333290100098,0.7060686945915222,0.4046712574383975,82.0,79.0,3.2363196445526423,12464.0,3.8138480186462402,0.7060686945915222,ok
design_18_seq_0,design_00,design_02,3.161,1.576,0.7609,0.8769,0.7608872056007385,0.4763487312135597,82.0,75.0,3.2363196445526423,11967.0,3.456299066543579,0.876862108707428,0.6179104758108535,82.0,75.0,3.2363196445526423,12144.0,2.654550552368164,0.876862108707428,ok
design_21_seq_1,design_02,initial,4.092,1.226,0.0,0.8759,0.0,0.0,0.0,0.0,0.5,0.0,,0.8758859634399414,0.6130641887679563,82.0,84.0,3.2363196445526423,13555.0,2.7349565029144287,0.19073602557182312,ok
design_26_seq_1,design_01,initial,2.898,1.402,0.6823,0.843,0.6823040246963501,0.3403965222505143,82.0,84.0,3.2363196445526423,12540.0,4.494263172149658,0.8430099487304688,0.560987064052218,82.0,84.0,3.2363196445526423,13522.0,3.0497257709503174,0.8430099487304688,ok
design_29_seq_0,initial,initial,3.673,4.03,0.1319,0.4754,0.13192139565944672,0.07908822059125444,75.0,81.0,3.054435875049391,9014.0,8.329381942749023,0.47537970542907715,0.211614922715213,79.0,81.0,3.1599999999999993,11206.0,5.385550022125244,0.47537970542907715,ok
design_29_seq_1,design_00,design_01,2.861,2.522,0.7158,0.7873,0.7158278226852417,0.4242618391778964,82.0,81.0,3.2363196445526423,12754.0,3.8366103172302246,0.7873101830482483,0.5264860853340109,82.0,81.0,3.2363196445526423,13090.0,3.1561503410339355,0.7873101830482483,ok
