unit,rep_design,steering_skipped,rep_ra_eff,rep_n_pass,rep_n_seeds,cold_ra_eff,n_mutations,cold_complex_plddt,rep_complex_plddt,d_complex_plddt,cold_interface_plddt,rep_interface_plddt,d_interface_plddt,cold_iptm,rep_iptm,d_iptm,cold_ipsae_min,rep_ipsae_min,d_ipsae_min,rep_true_jaccard,outcome
5A6W,design_05,False,27.431,0,3,23.489,3.0,86.35000000000001,84.47,-1.8800000000000097,79.28,77.9,-1.3799999999999955,0.1696,0.2018,0.032200000000000006,0.0,0.0,0.0,0.5172413793103449,still wrong
6FU9,design_03,False,3.802,2,3,4.728,2.0,88.92999999999999,88.02,-0.9099999999999966,90.23,89.42,-0.8100000000000023,0.7826,0.6825,-0.10009999999999997,0.3316,0.1613,-0.1703,0.8,already correct
6FUB,design_00,False,15.207,0,3,9.054,3.0,88.94999999999999,74.26,-14.689999999999984,90.51,71.44,-19.070000000000007,0.8665,0.8551,-0.011400000000000077,0.6906,0.5835,-0.10709999999999997,0.5588235294117647,still wrong
6FUD,design_02,False,0.913,2,3,9.453,3.0,92.33,87.9,-4.429999999999993,92.60000000000001,87.17,-5.430000000000007,0.3221,0.268,-0.05409999999999998,0.0,0.0,0.0,0.8076923076923077,rescued
6G10,design_08,False,4.2065,2,3,23.881,3.0,84.46000000000001,81.22,-3.240000000000009,79.54,73.58,-5.960000000000008,0.1829,0.4939,0.311,0.0,0.0321,0.0321,0.5806451612903226,rescued
6G11,design_15,False,2.739,1,3,26.572,6.0,89.27000000000001,79.67999999999999,-9.590000000000018,86.6,73.91,-12.689999999999998,0.149,0.4565,0.3075,0.0,0.003,0.003,0.6129032258064516,rescued
6Q76,design_02,False,3.6045000000000003,2,3,7.402,1.0,84.56,86.14,1.5799999999999983,86.38,85.46000000000001,-0.9199999999999875,0.874,0.8022,-0.07179999999999997,0.6083,0.4604,-0.14789999999999998,0.75,rescued
6R8K,design_17,False,2.904,3,3,33.314,6.0,83.78,75.77000000000001,-8.009999999999991,79.62,67.95,-11.670000000000002,0.3844,0.2545,-0.12990000000000002,0.0,0.0,0.0,0.7666666666666667,rescued
6R8M,design_02,False,3.141,3,3,35.983,6.0,88.29,76.47,-11.820000000000007,83.15,70.22,-12.930000000000007,0.3011,0.3468,0.04570000000000002,0.0,0.0,0.0,0.7741935483870968,rescued
7A8W,design_18,False,3.0330000000000004,2,3,33.082,6.0,87.42999999999999,67.32000000000001,-20.109999999999985,84.72,62.78,-21.939999999999998,0.2651,0.1555,-0.1096,0.0,0.0,0.0,0.7407407407407407,rescued
7A8X,design_14,False,5.184,1,3,26.815,3.0,80.91000000000001,71.17999999999999,-9.730000000000018,73.96000000000001,63.79,-10.170000000000009,0.2815,0.2683,-0.01319999999999999,0.0,0.0,0.0,0.6896551724137931,still wrong
7BNT,design_06,False,21.112,0,3,21.445,3.0,87.46000000000001,85.2,-2.260000000000005,83.02000000000001,82.03,-0.9900000000000091,0.1897,0.2582,0.06849999999999998,0.0,0.0,0.0,0.4,still wrong
7QPX,design_17,False,5.630000000000001,0,3,37.708,6.0,80.72,82.53,1.8100000000000023,76.1,78.22,2.1200000000000045,0.218,0.2709,0.052899999999999975,0.0,0.0,0.0,0.7142857142857143,still wrong
7QZD,design_00,False,29.64,0,3,30.954,6.0,85.58,82.59,-2.989999999999995,79.97,72.8,-7.170000000000002,0.2984,0.562,0.26360000000000006,0.0,0.0029,0.0029,0.6451612903225806,still wrong
5ZNG,initial,True,1.89,3,3,1.882,,93.32000000000001,93.13,-0.19000000000001194,92.36,92.36,0.0,0.6804,0.659,-0.021399999999999975,0.1696,0.1485,-0.021100000000000008,1.0,already correct
9IP6,initial,True,2.763,3,3,2.283,,92.06,92.06,0.0,90.49000000000001,90.49000000000001,0.0,0.6761,0.6367,-0.03939999999999999,0.1491,0.1157,-0.03340000000000001,1.0,already correct
9IMU,design_02,False,1.6059999999999999,2,3,21.668,3.0,82.80999999999999,83.43,0.6200000000000188,77.11,76.58,-0.5300000000000011,0.3164,0.2618,-0.05460000000000004,0.0,0.0,0.0,0.8636363636363636,rescued
8B2R,initial,True,3.198,3,3,3.198,,90.09,90.05,-0.04000000000000625,89.0,89.0,0.0,0.7979,0.7979,0.0,0.3983,0.3983,0.0,0.9090909090909092,already correct
